subject,body,category
Regarding agenda,share is that the and for agenda for the team dinner to the is,Primary
Regarding dinner,this so are party and for or schedule it dinner that will hangout,Social
Regarding bargain,at bargain for so this discount clearance is,Promotions
Regarding team,of team on bargain to office the and agenda,Primary
Regarding update,will be are policy it update verify this but be,Updates
Regarding terms,and of at password but will terms this confirm,Updates
Regarding save,the clearance that that save but on the that this,Promotions
Regarding project,in team and or project in of be be this it,Primary
Regarding office,are office at the project at at it for,Primary
Regarding update,for was is is at policy that or update or and be,Updates
Regarding settings,on so but are update will settings confirm,Updates
Regarding photo,will on of and at that share of photo but of be,Social
Regarding deal,deal or was in and for for deal and,Promotions
Regarding invite,will friend invite or for for family and of that,Social
Regarding percent,in or discount to to percent be be,Promotions
Regarding password,account but so or was verify password but,Updates
Regarding offer,it at is the offer save be,Promotions
Regarding deadline,be but discuss report but of deadline it,Primary
Regarding team,team so team that project and and or but on was in is,Primary
Regarding deadline,but so to deadline that was this team that it,Primary
Regarding meeting,are will at offer is is in so for report at agenda is clearance meeting,Primary
Regarding settings,will that or password so is settings in it is terms,Updates
Regarding project,this in this or will agenda project the,Primary
Regarding report,for but the deadline of deadline report was this on in or,Primary
Regarding team,it of deadline and will is team in team at,Primary
Regarding agenda,to the in this and and are so it agenda office schedule at,Primary
Regarding settings,was login be on but will was settings of or was the,Updates
Regarding verify,but discount login settings that to verify for the this,Updates
Regarding account,will that be on account settings it on,Updates
Regarding verify,that to be to verify it in be to confirm that,Updates
Regarding deal,it that deal project schedule the are on at percent,Promotions
Regarding presentation,it so this the project was be be deadline for was presentation,Primary
Regarding sale,but discount but clearance be on will sale this,Promotions
Regarding hangout,the so hangout share is that and are so,Social
Regarding presentation,in on on it will presentation presentation presentation to are but the was,Primary
Regarding share,share the this is meetup this and,Social
Regarding team,at to to or meeting team on,Primary
Regarding confirm,this or confirm confirm is on but to will and,Updates
Regarding video,and video will or dinner or but video,Social
Regarding invite,will project was the that hangout it invite for at discuss and for that,Social
Regarding save,this will save the cheap on so deal it at be for for confirm,Promotions
Regarding password,so to in the password account be confirm,Updates
Regarding report,in this that discuss of deadline report that,Primary
